SEASON_ID_x,Player_ID,Game_ID,GAME_DATE_x,MATCHUP_x,WL_x,MIN_x,FGM_x,FGA_x,FG_PCT_x,FG3M_x,FG3A_x,FG3_PCT_x,FTM_x,FTA_x,FT_PCT_x,OREB_x,DREB_x,REB_x,AST_x,STL_x,BLK_x,TOV_x,PF_x,PTS_x,PLUS_MINUS_x,VIDEO_AVAILABLE,PTS/48,SEASON_ID_y,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE_y,MATCHUP_y,WL_y,MIN_y,PTS_y,FGM_y,FGA_y,FG_PCT_y,FG3M_y,FG3A_y,FG3_PCT_y,FTM_y,FTA_y,FT_PCT_y,OREB_y,DREB_y,REB_y,AST_y,STL_y,BLK_y,TOV_y,PF_y,PLUS_MINUS_y
22018,201566,0021800525,"DEC 28, 2018",OKC @ PHX,W,39,17,29,0.586,3,7,0.429,3,6,0.5,2,10,12,8,0,0,6,3,40,6,1,49.230769230769226,22018,1610612760.0,OKC,Oklahoma City Thunder,0021800525,2018-12-28,OKC @ PHX,W,240.0,118.0,51.0,95.0,0.537,7.0,20.0,0.35,9.0,13.0,0.692,11.0,38.0,49.0,22.0,12.0,4.0,16.0,13.0,16.0
22018,201566,0021800498,"DEC 25, 2018",OKC @ HOU,L,38,6,20,0.3,2,6,0.333,7,10,0.7,3,6,9,9,4,1,6,3,21,6,1,26.526315789473685,22018,1610612760.0,OKC,Oklahoma City Thunder,0021800498,2018-12-25,OKC @ HOU,L,240.0,109.0,43.0,98.0,0.439,9.0,30.0,0.3,14.0,21.0,0.667,18.0,34.0,52.0,23.0,12.0,11.0,15.0,22.0,-4.0
22018,201566,0021800493,"DEC 23, 2018",OKC vs. MIN,L,36,10,19,0.526,1,1,1.0,2,4,0.5,1,10,11,10,1,0,4,6,23,7,1,30.666666666666664,22018,1610612760.0,OKC,Oklahoma City Thunder,0021800493,2018-12-23,OKC vs. MIN,L,240.0,112.0,43.0,90.0,0.478,9.0,25.0,0.36,17.0,22.0,0.773,9.0,36.0,45.0,17.0,4.0,10.0,13.0,27.0,-2.0
22018,201566,0021800485,"DEC 22, 2018",OKC @ UTA,W,35,3,17,0.176,0,4,0.0,2,2,1.0,0,12,12,9,3,0,6,6,8,-12,1,10.971428571428572,22018,1610612760.0,OKC,Oklahoma City Thunder,0021800485,2018-12-22,OKC @ UTA,W,241.0,107.0,42.0,89.0,0.472,9.0,25.0,0.36,14.0,22.0,0.636,8.0,43.0,51.0,19.0,11.0,5.0,17.0,21.0,1.0
22018,201566,0021800466,"DEC 19, 2018",OKC @ SAC,W,35,8,19,0.421,1,5,0.2,2,7,0.286,2,9,11,17,6,0,5,4,19,8,1,26.057142857142857,22018,1610612760.0,OKC,Oklahoma City Thunder,0021800466,2018-12-19,OKC @ SAC,W,241.0,132.0,51.0,102.0,0.5,13.0,32.0,0.406,17.0,27.0,0.63,18.0,48.0,66.0,27.0,8.0,6.0,17.0,24.0,19.0
22018,201566,0021800447,"DEC 17, 2018",OKC vs. CHI,W,32,5,13,0.385,0,0,0.0,3,4,0.75,4,12,16,11,5,0,4,3,13,25,1,19.5,22018,1610612760.0,OKC,Oklahoma City Thunder,0021800447,2018-12-17,OKC vs. CHI,W,242.0,121.0,43.0,89.0,0.483,8.0,21.0,0.381,27.0,33.0,0.818,17.0,32.0,49.0,24.0,14.0,2.0,19.0,21.0,25.0
22018,201566,0021800434,"DEC 15, 2018",OKC vs. LAC,W,36,4,17,0.235,3,4,0.75,2,3,0.667,2,7,9,12,6,0,4,3,13,0,1,17.333333333333332,22018,1610612760.0,OKC,Oklahoma City Thunder,0021800434,2018-12-15,OKC vs. LAC,W,239.0,110.0,42.0,90.0,0.467,9.0,22.0,0.409,17.0,24.0,0.708,9.0,31.0,40.0,26.0,13.0,7.0,11.0,20.0,6.0
22018,201566,0021800426,"DEC 14, 2018",OKC @ DEN,L,36,5,15,0.333,1,3,0.333,2,2,1.0,1,13,14,8,4,1,4,3,13,-9,1,17.333333333333332,22018,1610612760.0,OKC,Oklahoma City Thunder,0021800426,2018-12-14,OKC @ DEN,L,242.0,98.0,37.0,90.0,0.411,7.0,19.0,0.368,17.0,29.0,0.586,19.0,24.0,43.0,14.0,9.0,4.0,13.0,17.0,-11.0
22018,201566,0021800411,"DEC 12, 2018",OKC @ NOP,L,38,8,16,0.5,2,7,0.286,2,5,0.4,1,5,6,7,4,2,7,2,20,0,1,25.263157894736842,22018,1610612760.0,OKC,Oklahoma City Thunder,0021800411,2018-12-12,OKC @ NOP,L,239.0,114.0,42.0,87.0,0.483,13.0,43.0,0.302,17.0,27.0,0.63,9.0,30.0,39.0,23.0,10.0,6.0,18.0,27.0,-4.0
22018,201566,0021800396,"DEC 10, 2018",OKC vs. UTA,W,36,4,18,0.222,0,5,0.0,4,8,0.5,3,8,11,10,1,0,4,3,12,15,1,16.0,22018,1610612760.0,OKC,Oklahoma City Thunder,0021800396,2018-12-10,OKC vs. UTA,W,239.0,122.0,43.0,85.0,0.506,8.0,21.0,0.381,28.0,39.0,0.718,12.0,31.0,43.0,25.0,12.0,2.0,17.0,26.0,9.0
