SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
22017,1610612760,OKC,Oklahoma City Thunder,0021701194,2018-04-07,OKC @ HOU,W,241,108,36,91,0.396,10,33,0.303,26,33,0.788,15,27,42,21,11,5,11,20,6.0
22017,1610612760,OKC,Oklahoma City Thunder,0021701163,2018-04-03,OKC vs. GSW,L,240,107,35,93,0.376,9,38,0.237,28,37,0.757,22,36,58,13,8,3,16,20,-4.0
22017,1610612760,OKC,Oklahoma City Thunder,0021701150,2018-04-01,OKC @ NOP,W,241,109,41,95,0.432,9,31,0.29,18,25,0.72,14,37,51,24,13,4,18,22,5.0
22017,1610612760,OKC,Oklahoma City Thunder,0021701133,2018-03-30,OKC vs. DEN,L,263,125,45,108,0.417,20,44,0.455,15,27,0.556,18,32,50,25,13,2,8,22,-1.0
22017,1610612760,OKC,Oklahoma City Thunder,0021701126,2018-03-29,OKC @ SAS,L,240,99,37,85,0.435,11,30,0.367,14,21,0.667,10,33,43,19,11,3,15,23,-4.0
22017,1610612760,OKC,Oklahoma City Thunder,0021701100,2018-03-25,OKC vs. POR,L,241,105,37,84,0.44,8,27,0.296,23,28,0.821,13,26,39,16,9,5,10,19,-3.0
22017,1610612760,OKC,Oklahoma City Thunder,0021701084,2018-03-23,OKC vs. MIA,W,240,105,36,84,0.429,8,26,0.308,25,33,0.758,12,39,51,17,7,1,11,23,6.0
22017,1610612760,OKC,Oklahoma City Thunder,0021701059,2018-03-20,OKC @ BOS,L,241,99,35,85,0.412,10,27,0.37,19,29,0.655,8,36,44,19,6,6,13,20,-1.0
22017,1610612760,OKC,Oklahoma City Thunder,0021701046,2018-03-18,OKC @ TOR,W,240,132,49,88,0.557,10,21,0.476,24,34,0.706,14,25,39,27,11,2,17,24,7.0
22017,1610612760,OKC,Oklahoma City Thunder,0021701032,2018-03-16,OKC vs. LAC,W,241,121,46,94,0.489,11,32,0.344,18,22,0.818,17,29,46,30,17,10,14,20,8.0
22017,1610612760,OKC,Oklahoma City Thunder,0021701007,2018-03-13,OKC @ ATL,W,240,119,42,89,0.472,16,35,0.457,19,25,0.76,9,29,38,27,9,11,7,21,12.0
22017,1610612760,OKC,Oklahoma City Thunder,0021701003,2018-03-12,OKC vs. SAC,W,241,106,38,84,0.452,16,36,0.444,14,18,0.778,5,38,43,21,5,6,10,15,5.0
22017,1610612760,OKC,Oklahoma City Thunder,0021700990,2018-03-10,OKC vs. SAS,W,241,104,39,85,0.459,10,28,0.357,16,24,0.667,11,38,49,24,8,4,15,13,10.0
22017,1610612760,OKC,Oklahoma City Thunder,0021700975,2018-03-08,OKC vs. PHX,W,241,115,42,80,0.525,13,33,0.394,18,27,0.667,6,43,49,21,6,11,18,20,28.0
22017,1610612760,OKC,Oklahoma City Thunder,0021700960,2018-03-06,OKC vs. HOU,L,239,112,46,93,0.495,12,34,0.353,8,11,0.727,12,22,34,18,12,4,19,28,-10.0
22017,1610612760,OKC,Oklahoma City Thunder,0021700941,2018-03-03,OKC @ POR,L,240,100,40,91,0.44,6,27,0.222,14,21,0.667,9,31,40,18,6,6,12,21,-8.0
22017,1610612760,OKC,Oklahoma City Thunder,0021700933,2018-03-02,OKC @ PHX,W,240,124,46,96,0.479,11,34,0.324,21,29,0.724,16,32,48,22,5,11,11,20,8.0
22017,1610612760,OKC,Oklahoma City Thunder,0021700919,2018-02-28,OKC @ DAL,W,265,111,42,93,0.452,10,36,0.278,17,19,0.895,19,37,56,19,7,2,22,24,1.0
22017,1610612760,OKC,Oklahoma City Thunder,0021700903,2018-02-26,OKC vs. ORL,W,239,112,42,88,0.477,11,25,0.44,17,20,0.85,14,36,50,24,6,6,20,13,7.0
22017,1610612760,OKC,Oklahoma City Thunder,0021700887,2018-02-24,OKC @ GSW,L,239,80,29,88,0.33,9,34,0.265,13,21,0.619,14,29,43,19,8,3,15,17,-32.0
22017,1610612760,OKC,Oklahoma City Thunder,0021700871,2018-02-22,OKC @ SAC,W,239,110,38,86,0.442,14,35,0.4,20,24,0.833,10,39,49,26,6,7,11,16,3.0
22017,1610612760,OKC,Oklahoma City Thunder,0021700861,2018-02-14,OKC @ MEM,W,239,121,40,81,0.494,17,37,0.459,24,35,0.686,8,30,38,26,7,6,9,19,7.0
22017,1610612760,OKC,Oklahoma City Thunder,0021700850,2018-02-13,OKC vs. CLE,L,240,112,40,90,0.444,11,35,0.314,21,30,0.7,18,33,51,23,6,3,9,20,-8.0
22017,1610612760,OKC,Oklahoma City Thunder,0021700839,2018-02-11,OKC vs. MEM,W,240,110,34,77,0.442,16,37,0.432,26,40,0.65,9,29,38,21,6,3,9,23,18.0
22017,1610612760,OKC,Oklahoma City Thunder,0021700816,2018-02-08,OKC @ LAL,L,240,81,32,90,0.356,8,34,0.235,9,19,0.474,17,33,50,16,6,4,13,11,-25.0
22017,1610612760,OKC,Oklahoma City Thunder,0021700803,2018-02-06,OKC @ GSW,W,240,125,44,93,0.473,12,31,0.387,25,33,0.758,10,30,40,17,14,3,12,28,20.0
22017,1610612760,OKC,Oklahoma City Thunder,0021700788,2018-02-04,OKC vs. LAL,L,240,104,40,89,0.449,7,25,0.28,17,25,0.68,13,33,46,17,13,6,17,18,-4.0
22017,1610612760,OKC,Oklahoma City Thunder,0021700772,2018-02-02,OKC vs. NOP,L,241,100,37,97,0.381,9,36,0.25,17,20,0.85,15,37,52,24,6,5,16,18,-14.0
